Comment,Designator,Footprint,LCSC, LCSC, Price, Field4, Field5, Field6, Field7
"100pF","C10,C26","Capacitors_SMD:C_0603","","C14858","0.002882","","","",""
"27pF","C11,C12,C27,C28","Capacitors_SMD:C_0603","","C1656","0.011736","","","",""
"100nF","C2,C18","Capacitors_SMD:C_0603","","C14663","","","","",""
"1pF","C3,C19","Capacitors_SMD:C_0603","","C23969","","","","",""
"12pF","C4,C20","Capacitors_SMD:C_0603","","C38523","","","","",""
"1.5pF","C5,C1,C21,C17","Capacitors_SMD:C_0603","","C1639","","","","",""
"3.3pF","C6,C22","Capacitors_SMD:C_0603","","C85300","","","","",""
"47pF","C7,C23","Capacitors_SMD:C_0603","","C1671","","","","",""
"DC","C8,C13,C14,C9,C15,C16,C24,C29,C30,C25,C31,C32","Capacitors_SMD:C_0603","","C14663","0.007651","","","",""
"CommonSPI","J1","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm","","DNP","0","","","",""
"GDO","J2","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","DNP","0","","","",""
"CombOut","J3","Connectors:SMA_THT_Jack_Straight","","DNP","1.12","","","",""
"Local RF Out","J4,J6","Connectors:SMA_THT_Jack_Straight","","DNP","1.12","","","",""
"DigitalIO","J5,J7","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","DNP","0","","","",""
"ISO_RX","JP1","Resistors_SMD:R_0603","","DNP","0.002705","","","",""
"ISO_TX","JP2","Resistors_SMD:R_0603","","DNP","0.002705","","","",""
"18nH","L2,L7,L9,L14","Inductors_SMD:L_0603","","C86133","0.050628","","","",""
"12nH","L5,L1,L3,L4,L12,L8,L10,L11","Inductors_SMD:L_0603","","C29258","0.034201","","","",""
"3.3nH","L6,L13","Inductors_SMD:L_0603","","C1029","0.006151","","","",""
"PICross","R1","Resistors_SMD:R_0603","","DNP","0.005","","","",""
"PILeg","R3,R2","Resistors_SMD:R_0603","","DNP","0.005","","","",""
"TeeCross","R4,R5","Resistors_SMD:R_0603","","DNP","0.005","","","",""
"TeeLeg","R6","Resistors_SMD:R_0603","","DNP","0.005","","","",""
"56K","R7,R8","Resistors_SMD:R_0603","","C23206","0.000769","","","",""
"CC1101","U1,U2","Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm","","C29953","1.604545","-","55R2471","QFN-20","CC1101RGP"
"26Mhz","Y2,Y1","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","","C70573","0.094375","","","",""